,County,Biden,Trump,Jorgenson,Total,Percent Biden,Percent Trump,Percent Jorgenson
0,ADAMS,18254,37567,814,56635,32.23095259115388,66.3317736382096,1.4372737706365322
1,ALLEGHENY,428876,282170,8341,719387,59.61686825032979,39.22367237662065,1.1594593730495546
2,ARMSTRONG,8417,27340,421,36178,23.26552048206092,75.57078887721819,1.16369064072088
3,BEAVER,37747,54108,1228,93083,40.55198049052996,58.128766799523,1.3192527099470366
4,BEDFORD,4367,23025,182,27574,15.837383041996084,83.50257488938855,0.6600420686153623
5,BERKS,89530,105941,2789,198260,45.157873499445174,53.43538787450822,1.4067386260466055
6,BLAIR,17425,44714,645,62784,27.75388634046891,71.21878185524974,1.0273318042813455
7,BRADFORD,8044,21586,513,30143,26.686129449623465,71.61198288159771,1.7018876687788211
8,BUCKS,201768,184440,4108,390316,51.693499625944106,47.254019819838284,1.0524805542176083
9,BUTLER,37379,74279,1432,113090,33.05243611283049,65.68131576620391,1.2662481209656027
10,CAMBRIA,21752,48094,759,70605,30.808016429431344,68.11698888180725,1.0749946887614192
11,CAMERON,634,1771,29,2434,26.047658175842237,72.7608874281019,1.191454396055875
12,CARBON,11083,21773,429,33285,33.297281057533425,65.4138500826198,1.2888688598467777
13,CENTRE,40054,36371,1065,77490,51.68925022583559,46.9363788875984,1.3743708865660085
14,CHESTER,179364,127074,3523,309961,57.86663483470501,40.99677056145773,1.136594603837257
15,CLARION,4671,14550,237,19458,24.00555041628122,74.77644156645081,1.218008017267962
16,CLEARFIELD,9598,28984,542,39124,24.532256415499436,74.08240466209999,1.3853389224005725
17,CLINTON,5501,11897,221,17619,31.221976275611556,67.52369600998922,1.2543277143992282
18,COLUMBIA,10289,19752,528,30569,33.65828126533416,64.61447872027217,1.7272400143936668
19,CRAWFORD,12610,28002,513,41125,30.66261398176292,68.08996960486323,1.2474164133738601
20,CUMBERLAND,62237,77212,2138,141587,43.956719190321145,54.53325517173187,1.5100256379469867
21,DAUPHIN,78912,66365,1977,147254,53.589036630583884,45.068385239110654,1.3425781303054587
22,DELAWARE,205332,118358,2969,326659,62.85820993758017,36.232891180099124,0.9088988823207075
23,ELK,4517,12135,244,16896,26.734138257575758,71.82173295454545,1.4441287878787878
24,ERIE,68336,66912,1936,137184,49.81338931653837,48.775367389783064,1.411243293678563
25,FAYETTE,19518,39978,445,59941,32.56201931899702,66.6955839909244,0.7423966900785773
26,FOREST,715,1864,34,2613,27.363184079601986,71.33562954458476,1.3011863758132414
27,FRANKLIN,22468,57308,1120,80896,27.773931962025316,70.84157436708861,1.3844936708860758
28,FULTON,1085,6824,68,7977,13.601604613263133,85.54594459069826,0.852450796038611
29,GREENE,4900,12556,179,17635,27.785653529912107,71.19931953501559,1.0150269350722994
30,HUNTINGDON,5448,17059,286,22793,23.902075198525864,74.84315359978942,1.2547712016847279
31,INDIANA,12634,28087,475,41196,30.668026021943877,68.17894941256432,1.1530245654917952
32,JEFFERSON,4498,17928,335,22761,19.76187337990422,78.76631079478055,1.4718158253152323
33,JUNIATA,2253,9648,141,12042,18.709516691579474,80.11958146487295,1.1709018435475833
34,LACKAWANNA,61768,52206,1083,115057,53.68469541183934,45.37403200152967,0.9412725866309744
35,LANCASTER,115809,160190,4183,280182,41.33349037411397,57.17355147725407,1.4929581486319607
36,LAWRENCE,15772,29290,496,45558,34.619605777250975,64.29167215417709,1.08872206857193
37,LEBANON,23646,46267,977,70890,33.35590351248413,65.26590492312033,1.3781915643955425
38,LEHIGH,95889,82287,2108,180284,53.187748219475935,45.64298551174813,1.1692662687759312
39,LUZERNE,64822,86889,1518,153229,42.30400250605303,56.705323404838516,0.9906740891084586
40,LYCOMING,16961,41439,821,59221,28.640178315124704,69.97348913392209,1.3863325509532092
41,MCKEAN,5076,14067,284,19427,26.12858392958254,72.40953312400268,1.4618829464147836
42,MERCER,20426,35282,712,56420,36.20347394540943,62.53456221198157,1.2619638426090038
43,MIFFLIN,4599,16663,229,21491,21.39965566981527,77.53478200176818,1.0655623284165465
44,MONROE,43038,37989,1018,82045,52.45657870680724,46.302638795782805,1.240782497409958
45,MONTGOMERY,313543,182907,5111,501561,62.51343306198049,36.46754831416318,1.0190186238563206
46,MONTOUR,3774,5851,157,9782,38.581067266407686,59.81394397873645,1.6049887548558577
47,NORTHAMPTON,84145,82830,1977,168952,49.804086367725745,49.025758795397515,1.170154836876746
48,NORTHUMBERLAND,12703,28975,657,42335,30.005905279319713,68.44218731546002,1.551907405220267
49,PERRY,5950,18293,409,24652,24.135972740548432,74.20493266266429,1.6590945967872788
50,PHILADELPHIA,580331,128667,4682,713680,81.31529537047416,18.028668310727497,0.656036318798341
51,PIKE,13052,19241,323,32616,40.017169487368164,58.99251900907531,0.9903115035565367
52,POTTER,1716,7216,99,9031,19.00121802679659,79.90255785627284,1.0962241169305724
53,SCHUYLKILL,20425,48100,997,69522,29.3791893213659,69.18673225741492,1.4340784212191824
54,SNYDER,4910,13983,247,19140,25.653082549634277,73.05642633228841,1.290491118077325
55,SOMERSET,8543,31105,414,40062,21.324447106984174,77.64215466027657,1.0333982327392541
56,SULLIVAN,921,2622,56,3599,25.59044178938594,72.85357043623229,1.5559877743817727
57,SUSQUEHANNA,6084,14879,301,21264,28.6117381489842,69.97272385252069,1.415537998495109
58,TIOGA,4954,15739,378,21071,23.51098666413554,74.69507854397038,1.7939347918940722
59,UNION,7322,12194,280,19796,36.98727015558699,61.598302687411596,1.4144271570014144
60,VENANGO,7585,18569,374,26528,28.59243063932449,69.99773823884198,1.4098311218335344
61,WARREN,5987,14020,338,20345,29.427377734087003,68.91128041287786,1.6613418530351438
62,WASHINGTON,44746,71397,1300,117443,38.10018477048441,60.792895276857706,1.1069199526578852
63,WAYNE,9191,18637,261,28089,32.720993983409876,66.34981665420628,0.9291893623838513
64,WESTMORELAND,71099,128596,2316,202011,35.19560815995169,63.65791961823861,1.1464722218097034
65,WYOMING,4704,9936,218,14858,31.65971193969579,66.87306501547987,1.467223044824337
66,YORK,85323,143260,3473,232056,36.768280070327855,61.73509842451822,1.4966215051539282
